site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
laverdad.es,-4,-22,-24,-31,0,0,0,0,0,-1,-1,-11,0,0,,
lavozdealmeria.es,375,2086,1226,560,1,2,70,76,0,89,252,25,0,1,,
leagueoflegends.wikia.com,-3,-528,-890,-595,0,0,0,0,0,0,0,6,1,0,,
leakedearly.gdn,-4,-55,5,-1,-1,0,0,2,0,-3,0,2,1,0,,
leech.ae,2,-22,22,16,0,0,0,0,0,0,2,7,1,1,,
lepoint.fr,2,6,18,0,0,0,0,2,0,0,0,6,1,0,,
lequipe.fr,0,-7,3,0,0,0,0,0,0,0,0,2,0,0,,
letras.mus.br,-7,-71,-7,-8,-1,0,0,-1,0,-4,0,1,1,0,,
levante-emv.com,1,2,9,5,0,0,0,0,0,0,0,3,1,0,,
liens-telechargement.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
linkneverdie.com,1,3,0,0,0,0,0,0,0,0,0,0,1,0,,
liveedu.tv/livestreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
lmss.vn,0,-16,41,20,0,0,0,0,0,0,3,2,1,0,,
locopelis.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
lolalytics.com,0,0,17,0,0,0,0,0,0,0,0,4,0,0,,
lookr.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
macgames-download.com,1,2,2,1,0,0,0,0,0,0,0,0,0,0,,
magesy.be,26,701,85,17,0,1,0,0,0,8,12,10,1,0,,
mako.tv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
mallorcazeitung.es,862,4473,3049,893,1,27,75,161,4,117,539,43,1,0,,
mangaant.com,8,1086,62,31,0,0,0,3,0,0,9,3,0,0,,
marca.com,0,-88,10,0,0,0,0,0,0,0,0,5,0,0,,
maspeliculas.cc,0,0,14,-1,0,0,0,0,0,0,0,1,0,0,,
mediafire.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
medicalnewstoday.com,-2,-39,5,1,0,0,0,1,0,0,0,3,0,0,,
meizufans.eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
menshealth.com,21,1151,85,55,0,0,0,-3,0,2,-5,7,1,0,,
menshealth.com/guy-wisdom/6-pains-worse-than-childbirth,14,694,63,25,0,0,0,5,0,3,3,7,1,0,,
merca20.com,0,0,3,0,0,0,0,0,0,0,0,2,0,0,,
merriam-webster.com,0,0,11,3,0,0,0,0,0,0,0,6,1,0,,
mexashare.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
minecrafthousedesign.com,0,0,12,0,0,0,0,0,0,0,0,3,0,0,,
mineplex.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
miniminiplus.pl,2,2,11,0,0,0,0,0,0,0,0,0,0,0,,
miohentai.com/stream/mutual-childhood-love-tainted.html,1,1,7,3,0,0,0,0,0,0,1,2,0,0,,
mirrorcreator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
mirrorcreator.com/files/056qyyqg/fe4c155ca5774d66b3ff1226b6de2cb8.rar_links,9,689,75,51,0,0,0,7,0,0,13,0,0,0,,
mitele.es,214,171,962,411,0,10,30,27,0,85,82,2,1,0,,
